iter	Accuracy	MultiClass
0	0.6771778883	1.063307607
1	0.6762438498	1.032584391
2	0.6769937117	1.004549987
3	0.6774804641	0.9790843875
4	0.6801641803	0.9567952009
5	0.6797695161	0.9361936048
6	0.6801904912	0.9181199105
7	0.6799536927	0.9010003849
8	0.6811639961	0.8857580888
9	0.6898729181	0.8671288864
10	0.6880048412	0.8536764215
11	0.6883468835	0.8415223971
12	0.692214592	0.8300681565
13	0.6886363038	0.8194974466
14	0.6879785303	0.809938251
15	0.689701897	0.8010761508
16	0.6935564501	0.7926253398
17	0.7064356566	0.7793524605
18	0.7193674849	0.7678554098
19	0.7254847791	0.7564366106
20	0.724866472	0.7496065942
21	0.7279316968	0.7394335593
22	0.7279185413	0.7341460597
23	0.730141816	0.7245672268
24	0.7297866183	0.7197616336
25	0.7312994975	0.7125580856
26	0.7326150446	0.7056052246
27	0.7342200121	0.699483644
28	0.7344831215	0.6937852599
29	0.7343778778	0.6882347611
30	0.7343384113	0.6834325321
31	0.7338779698	0.678475868
32	0.7337069487	0.6745136512
33	0.7337464151	0.6697767409
34	0.733799037	0.6657146655
35	0.7335227721	0.6620217818
36	0.7336017049	0.658896183
37	0.7339174363	0.6554167247
38	0.7335227721	0.6527081861
39	0.7331675744	0.6500585202
40	0.7340358355	0.6471797866
41	0.7337332597	0.6446217172
42	0.7338779698	0.6424030567
43	0.7341805457	0.6402866725
44	0.7344304996	0.6383833282
45	0.7346541427	0.6363304759
46	0.7343778778	0.634370855
47	0.7344436551	0.6327064324
48	0.7351014287	0.630485255
49	0.7354040045	0.6289538543
50	0.7350224959	0.6269921286
51	0.7356144921	0.6256995389
52	0.7356539585	0.6242618699
53	0.7358512906	0.6226696246
54	0.7356013366	0.6216531706
55	0.7362459547	0.6197948724
56	0.7371142158	0.6182005831
57	0.7373378588	0.6169960849
58	0.7376404347	0.6159474172
59	0.738877049	0.6145185044
60	0.7387060278	0.6133493495
61	0.7391270029	0.612583118
62	0.7394953561	0.6109935517
63	0.7394032678	0.6098032638
64	0.7395742889	0.6091693403
65	0.7406135712	0.6082171257
66	0.7411134791	0.6070539648
67	0.7415344542	0.6065102491
68	0.7414292104	0.6053214544
69	0.7416002315	0.6047096916
70	0.7423764043	0.6037745609
71	0.7425737364	0.6031233333
72	0.7435867077	0.6019717422
73	0.7442971032	0.6012028954
74	0.7447443892	0.6008109532
75	0.7450864314	0.6002596276
76	0.7455863394	0.5995908543
77	0.7460073144	0.5990013189
78	0.7461257137	0.5984388453
79	0.7465729997	0.5977266962
80	0.7469018865	0.5961363071
81	0.7469808193	0.5955189117
82	0.7470071303	0.5948917216
83	0.7470597522	0.5944395951
84	0.7478885468	0.5938071468
85	0.7480990344	0.5929546611
86	0.7481516563	0.5924294116
87	0.7486120978	0.5917405911
88	0.7487962744	0.5914218394
89	0.7488357408	0.5911077529
90	0.7489146736	0.5907912841
91	0.7492567159	0.5904457315
92	0.7493488042	0.5898619187
93	0.749875023	0.5890932594
94	0.7499408004	0.5886857591
95	0.7500855106	0.5882703946
96	0.750124977	0.5880319234
97	0.7502039098	0.5876419226
98	0.7502696872	0.5870447068
99	0.750124977	0.5867395867
100	0.7502959981	0.5863162082
101	0.7509932381	0.5857475077
102	0.7509932381	0.5854804273
103	0.7515983898	0.5849458278
104	0.751940432	0.5844006798
105	0.7521509196	0.584029337
106	0.7523614071	0.583544165
107	0.7526508275	0.5831332414
108	0.7527692267	0.582538767
109	0.7526245165	0.5823559779
110	0.7528086931	0.5820307783
111	0.7530718026	0.5816588402
112	0.7531375799	0.5812853102
113	0.7532033573	0.5811261597
114	0.7533743784	0.580481548
115	0.7534796222	0.5801623519
116	0.7536111769	0.5797959244
117	0.7540453074	0.5794585159
118	0.7541637067	0.5788333712
119	0.754229484	0.5785994602
120	0.7541637067	0.5781988321
121	0.7541110848	0.5779702476
122	0.7541900176	0.57780104
123	0.7541768622	0.5774561601
124	0.7544136606	0.5771189061
125	0.7545057489	0.5767737674
126	0.7544268161	0.5762489877
127	0.7545189044	0.5761329038
128	0.7547557029	0.5755482805
129	0.7546767701	0.5753300572
130	0.754703081	0.575084787
131	0.7547951693	0.5749824278
132	0.7550319678	0.5746990758
133	0.7553213882	0.5741998918
134	0.7554660984	0.5738560924
135	0.7559923172	0.5731071787
136	0.7559791617	0.5728645382
137	0.7561370274	0.5727627659
138	0.7562817376	0.5725399758
139	0.7564659142	0.5722293548
140	0.7564790696	0.5719345797
141	0.7564790696	0.5717352954
142	0.7567553345	0.5715825509
143	0.7567421791	0.5715636075
144	0.7568474228	0.5712294728
145	0.7572947089	0.5706528233
146	0.7573604862	0.5705003475
147	0.7573341753	0.570356575
148	0.7573210198	0.5698723233
149	0.7577025285	0.5693083542
150	0.7577419949	0.5692185301
151	0.7578209277	0.5690212076
152	0.7580051043	0.5686913822
153	0.7579656379	0.5685578081
154	0.7580182598	0.5683234208
155	0.757939327	0.56823261
156	0.7578077723	0.5680396005
157	0.7579261715	0.5679543104
158	0.7580577262	0.5676731261
159	0.7582419028	0.5675362127
160	0.7581761255	0.5674709943
161	0.7583471466	0.5673601293
162	0.7584523903	0.5666484322
163	0.7585707896	0.5664728566
164	0.7587418107	0.5662571618
165	0.7587418107	0.5661681278
166	0.7586760334	0.5658235061
167	0.7587944326	0.5655813727
168	0.7589391428	0.5651877555
169	0.7591890967	0.5649750715
170	0.7592417186	0.5649012822
171	0.7593601179	0.5647307516
172	0.7594390507	0.5644755166
173	0.7593864288	0.5643807587
174	0.759531139	0.5643297067
175	0.7595837609	0.5642418941
176	0.7595179835	0.5641640644
177	0.7595442945	0.5640386312
178	0.7596100718	0.5639236843
179	0.7598600258	0.5635675794
180	0.7598074039	0.5633654256
181	0.7598337148	0.5633023423
182	0.7598731813	0.563162208
183	0.7599915805	0.5630378751
