iter	Passed	Remaining
0	287	2298045
1	425	1701609
2	565	1508006
3	696	1392984
4	843	1349298
5	1010	1346531
6	1149	1312041
7	1268	1267030
8	1407	1249991
9	1559	1245681
10	1686	1224930
11	1817	1209849
12	1953	1199992
13	2078	1185737
14	2210	1176763
15	2318	1157044
16	2444	1147705
17	2585	1146390
18	2711	1139106
19	2817	1124113
20	2944	1118729
21	3091	1121182
22	3224	1118416
23	3330	1106941
24	3465	1105405
25	3589	1100905
26	3687	1088955
27	3787	1078303
28	3895	1070812
29	4018	1067563
30	4149	1066713
31	4268	1062946
32	4363	1053420
33	4490	1052208
34	4611	1049519
35	4716	1043467
36	4815	1036463
37	4943	1035894
38	5039	1028740
39	5154	1025652
40	5256	1020374
41	5360	1015677
42	5457	1009880
43	5554	1004437
44	5674	1003123
45	5772	998176
46	5894	997403
47	6020	997318
48	6132	995155
49	6252	994152
50	6375	993755
51	6485	991322
52	6627	993814
53	6738	991577
54	6884	994445
55	7222	1024513
56	7565	1054268
57	7935	1086554
58	8634	1162167
59	9491	1256045
60	10045	1307457
61	10797	1382482
62	11616	1463443
63	12274	1521985
64	12810	1563856
65	13569	1631230
66	14246	1686808
67	14706	1715444
68	15225	1750087
69	15686	1777046
70	16176	1806583
71	16586	1826378
72	17112	1858192
73	17638	1889175
74	18109	1913612
75	18593	1938656
76	19135	1968924
77	19723	2003241
78	20454	2050881
79	21080	2086969
80	21813	2132601
81	22579	2180322
82	23504	2241998
83	24374	2297009
84	25267	2352879
85	26070	2399112
86	26889	2445710
87	27604	2481905
88	28508	2534051
89	29492	2592088
90	30191	2624018
91	31010	2665570
92	32186	2736565
93	33212	2793359
94	34346	2857963
95	35277	2904501
96	36432	2968342
97	37080	2989878
98	38039	3035895
99	39025	3083033
100	39888	3119589
101	41739	3231916
102	42591	3265492
103	43361	3292120
104	44118	3317257
105	44928	3345886
106	45652	3367601
107	46415	3391790
108	47099	3409716
109	47863	3433113
110	48525	3448800
111	49209	3465789
112	49920	3484248
113	50674	3505450
114	51543	3534063
115	52508	3568776
116	53129	3579647
117	53969	3605012
118	54787	3628423
119	55514	3645467
120	56156	3656639
121	56886	3673377
122	57727	3696914
123	58346	3705927
124	58926	3712399
125	59743	3733518
126	60505	3750890
127	60998	3751437
128	61731	3766594
129	62336	3773743
130	63057	3787809
131	63847	3805725
132	64535	3817299
133	65172	3825742
134	65838	3835680
135	66583	3850095
136	67220	3858046
137	67768	3860829
138	68421	3869498
139	69101	3879568
140	69831	3892247
141	70475	3899967
142	71087	3905811
143	71447	3897863
144	72079	3904713
145	72832	3917979
146	73523	3927762
147	74131	3932971
148	74844	3943659
149	75800	3966873
150	76315	3966890
151	76903	3970639
152	77663	3983178
153	78338	3991178
154	78871	3991891
155	79790	4012044
156	80484	4020654
157	81152	4027841
158	81820	4034931
159	82476	4041356
160	83076	4044931
161	83800	4054517
162	84530	4064222
163	85331	4077200
164	85979	4082742
165	86502	4082298
166	87177	4088987
167	87737	4090247
168	88383	4095456
169	88926	4095855
170	89437	4094776
171	90044	4098058
172	90655	4101506
173	91320	4107342
174	91962	4112049
175	92541	4113880
176	93017	4111161
177	93658	4115706
178	94300	4120265
179	94906	4123177
180	95598	4129750
181	96317	4137402
182	96920	4140027
183	97569	4144579
184	98298	4152435
185	98972	4157890
186	100106	4182536
187	100835	4190038
188	101571	4197748
189	102182	4200241
190	102910	4207478
191	103727	4218251
192	104374	4222010
193	104952	4222981
194	105887	4238229
195	106694	4248172
196	107399	4254014
197	108193	4263261
198	108790	4264701
199	109743	4279997
200	110372	4282574
201	111307	4296918
202	112530	4322170
203	112830	4311892
204	113581	4318879
205	114489	4331693
206	115142	4334817
207	115719	4335032
208	116550	4344726
209	117423	4355835
210	118178	4362526
211	118844	4365867
212	119627	4373433
213	120483	4383558
214	121139	4386394
215	121891	4392603
216	122871	4406937
217	123640	4413631
218	124260	4414945
219	125074	4423098
220	126050	4436866
221	126879	4445339
222	127525	4447365
223	128330	4454908
224	129105	4461325
225	129893	4468109
226	130575	4471220
227	131193	4472078
228	131782	4471967
229	132495	4476040
230	134096	4509943
231	134995	4520033
232	135565	4519040
233	136328	4524487
234	136639	4514907
235	136961	4505808
236	137259	4495960
237	137595	4487466
238	137859	4476692
239	138149	4466826
240	138431	4456807
241	138771	4448704
242	139254	4445243
243	140022	4450893
244	140535	4448380
245	141170	4449732
246	142321	4467276
247	142485	4453810
248	142630	4439889
249	142760	4425567
250	142919	4412288
251	143055	4398402
252	143176	4384155
253	143299	4370065
254	143416	4355931
255	143555	4342551
256	143686	4329040
257	143804	4315260
258	143935	4301952
259	144037	4287872
260	144173	4274945
261	144308	4262063
262	144435	4249050
263	144576	4236519
264	144706	4223798
265	144822	4210733
266	144953	4198217
267	145091	4186003
268	145230	4173884
269	145359	4161579
270	145498	4149658
271	145612	4137096
272	145742	4125111
273	145890	4113688
274	146040	4102419
275	146188	4091145
276	146323	4079629
277	146468	4068455
278	146624	4057654
279	146745	4045992
280	146869	4034474
281	147004	4023339
282	147101	4011254
283	147229	4000077
284	147367	3989262
285	147504	3978494
286	147633	3967584
287	147745	3956295
288	147882	3945762
289	147995	3934629
290	148126	3924085
291	148278	3914135
292	148415	3903895
293	148532	3893173
294	148675	3883202
295	148818	3873302
296	148956	3863350
297	149069	3852787
298	149181	3842288
299	149309	3832289
300	149461	3822945
301	149608	3813528
302	149759	3804274
303	149875	3794225
304	149980	3783924
305	150127	3774775
306	150276	3765720
307	150414	3756451
308	150530	3746701
309	150670	3737609
310	150830	3729059
311	150978	3720254
312	151104	3710983
313	151223	3701613
314	151367	3692887
315	151507	3684137
316	151639	3675230
317	151788	3666790
318	151927	3658162
319	152058	3649393
320	152205	3641083
321	152331	3632311
322	152453	3623488
323	152564	3614457
324	152703	3606142
325	152844	3597938
326	152999	3590104
327	153128	3581709
328	153231	3572751
329	153334	3563854
330	153435	3554967
331	153575	3547029
332	153774	3540514
333	153923	3532858
334	154035	3524428
335	154172	3516606
336	154312	3508883
337	154435	3500834
338	154596	3493703
339	154735	3486105
340	154893	3478963
341	155023	3471251
342	155138	3463242
343	155289	3456086
344	155433	3448819
345	155539	3440740
346	155660	3433063
347	155769	3425129
348	155900	3417746
349	156028	3410327
350	156155	3402937
351	156294	3395860
352	156417	3388451
353	156545	3381209
354	156685	3374258
355	156806	3366942
356	156941	3359945
357	157068	3352832
358	157192	3345712
359	157324	3338769
360	157453	3331817
361	157582	3324903
362	157719	3318184
363	157832	3311005
364	157956	3304099
365	158083	3297292
366	158207	3290447
367	158331	3283659
368	158469	3277175
369	158586	3270306
370	158710	3263618
371	158835	3256991
372	158962	3250416
373	159074	3243588
374	159220	3237479
375	159353	3231143
376	159488	3224877
377	159608	3218354
378	159745	3212181
379	159884	3206104
380	160017	3199936
381	160139	3193558
382	160277	3187552
383	160402	3181319
384	160540	3175366
385	160678	3169438
386	160801	3163266
387	160916	3156940
388	161050	3151051
389	161182	3145120
390	161310	3139150
391	161435	3133162
392	161545	3126918
393	161674	3121055
394	161836	3115866
395	161964	3110044
396	162089	3104206
397	162223	3098559
398	162363	3093049
399	162483	3087178
400	162605	3081390
401	162736	3075800
402	162862	3070140
403	162981	3064370
404	163103	3058687
405	163221	3052963
406	163343	3047332
407	163445	3041371
408	163557	3035609
409	163693	3030321
410	163799	3024520
411	163927	3019123
412	164055	3013777
413	164195	3008657
414	164338	3003626
415	164454	2998132
416	164573	2992706
417	164705	2987545
418	164824	2982180
419	164944	2976847
420	165062	2971510
421	165187	2966326
422	165329	2961465
423	165472	2956648
424	165633	2952166
425	165757	2947056
426	165879	2941930
427	166010	2936995
428	166145	2932132
429	166288	2927446
430	166418	2922553
431	166519	2917178
432	166637	2912122
433	166777	2907462
434	166906	2902645
435	167034	2897820
436	167154	2892883
437	167292	2888279
438	167426	2883625
439	167550	2878826
440	167676	2874076
441	167774	2868876
442	167898	2864123
443	168028	2859507
444	168163	2854999
445	168286	2850313
